coddepto,codmpio,coca_presence,inf_q
70,70230,0,3
70,70233,0,3
70,70235,0,2
70,70400,0,2
70,70418,0,3
70,70429,0,3
70,70473,0,2
70,70508,0,3
70,70523,0,3
70,70670,0,2
70,70678,0,3
70,70702,0,1
70,70708,0,2
70,70713,0,3
70,70717,0,2
70,70742,0,2
70,70771,0,3
70,70820,0,2
70,70823,0,2
73,73001,0,3
73,73024,0,3
73,73026,0,2
73,73030,0,1
73,73043,0,3
73,73055,0,1
73,73067,0,4
73,73124,0,2
73,73148,0,2
73,73152,0,2
73,73168,0,3
73,73200,0,2
73,73217,0,4
73,73226,0,3
73,73236,0,4
73,73268,0,1
73,73270,0,2
73,73275,0,1
73,73283,0,3
73,73319,0,2
73,73347,0,2
73,73349,0,1
73,73352,0,3
73,73408,0,2
73,73411,0,2
73,73443,0,2
73,73449,0,2
73,73483,0,4
73,73504,0,4
73,73520,0,2
73,73547,0,1
73,73555,0,4
73,73563,0,3
73,73585,0,3
73,73616,0,4
73,73622,0,4
73,73624,0,4
73,73671,0,2
73,73675,0,3
73,73678,0,3
73,73686,0,3
73,73770,0,2
73,73854,0,3
73,73861,0,2
73,73870,0,3
73,73873,0,1
76,76020,0,2
76,76036,0,1
76,76041,0,2
76,76054,0,2
76,76100,1,3
76,76109,1,4
76,76111,0,2
76,76113,0,2
76,76122,0,1
76,76126,1,2
76,76130,0,2
76,76147,0,1
76,76233,1,4
76,76243,0,3
76,76246,0,3
76,76248,0,2
76,76250,0,3
76,76275,0,3
76,76306,0,2
76,76318,0,2
76,76364,1,3
76,76377,0,3
76,76400,0,1
76,76403,0,1
76,76497,0,2
76,76520,0,2
76,76563,0,3
76,76606,0,3
76,76616,0,1
76,76622,0,2
76,76670,0,2
76,76736,0,1
76,76823,0,2
76,76828,0,2
76,76834,0,1
76,76845,0,2
76,76863,0,3
76,76869,0,3
76,76890,0,2
76,76892,0,3
76,76895,0,1
81,81001,0,4
81,81065,1,3
81,81220,0,4
81,81300,1,3
81,81591,1,4
81,81736,1,2
81,81794,1,4
85,85001,0,3
85,85010,0,3
85,85015,0,4
85,85125,0,4
85,85136,0,3
85,85139,0,4
85,85162,0,3
85,85225,0,4
85,85230,0,4
85,85250,0,4
85,85263,0,4
85,85279,0,4
85,85300,0,3
85,85315,0,4
85,85325,0,4
85,85400,0,4
85,85410,0,4
85,85430,0,4
85,85440,0,2
86,86001,1,4
86,86219,0,4
86,86320,1,4
86,86568,1,4
86,86569,1,4
86,86571,1,4
86,86573,1,1
86,86749,0,4
86,86755,0,1
86,86757,1,4
86,86760,0,4
86,86865,1,4
86,86885,1,3
88,88001,0,2
88,88564,0,4
91,91001,0,1
91,91540,0,1
94,94001,1,1
95,95001,1,1
95,95015,1,1
95,95025,1,1
97,97001,1,1
99,99001,0,1
99,99524,1,3
99,99624,0,1
99,99773,1,1
